stage,date,distance_km,origin,destination,type,winner,winner_country,year
16,1959-07-11,210.0,Clermont-Ferrand,Saint-Étienne,Flat stage,Dino Bruni,ITA,1959
17,1959-07-13,197.0,Saint-Étienne,Grenoble,Mountain stage,Charly Gaul,LUX,1959
18,1959-07-14,243.0,Grenoble,Saint-Vincent,Mountain stage,Ercole Baldini,ITA,1959
19,1959-07-15,251.0,Saint-Vincent,Annecy,Mountain stage,Rolf Graf,SUI,1959
20,1959-07-16,202.0,Annecy,Chalon-sur-Saône,Flat stage,Brian Robinson,GBR,1959
21,1959-07-17,69.0,Seurre,Dijon,Individual time trial,Roger Rivière,FRA,1959
22,1959-07-18,331.0,Dijon,Paris,Flat stage,Joseph Groussard,FRA,1959
1,1958-06-26,184.0,Brussels,Ghent,Flat stage,André Darrigade,FRA,1958
2,1958-06-27,198.0,Ghent,Dunkirk,Flat stage,Gerrit Voorting,NED,1958
3,1958-06-28,177.0,Dunkirk,Mers-les-Bains,Flat stage,Gilbert Bauvin,FRA,1958
4,1958-06-29,205.0,Le Tréport,Versailles,Flat stage,Jean Gainche,FRA,1958
5,1958-06-30,232.0,Versailles,Caen,Flat stage,Tino Sabbadini,FRA,1958
6,1958-07-01,223.0,Caen,Saint-Brieuc,Flat stage,Martin van Geneugden,BEL,1958
7,1958-07-02,170.0,Saint-Brieuc,Brest,Flat stage,Brian Robinson,GBR,1958
8,1958-07-03,46.0,Châteaulin,Châteaulin,Individual time trial,Charly Gaul,LUX,1958
9,1958-07-04,206.0,Quimper,Saint-Nazaire,Flat stage,André Darrigade,FRA,1958
10,1958-07-05,255.0,Saint-Nazaire,Royan,Flat stage,Pierino Baffi,ITA,1958
11,1958-07-06,137.0,Royan,Bordeaux,Flat stage,Arrigo Padovan,ITA,1958
12,1958-07-07,161.0,Bordeaux,Dax,Flat stage,Martin van Geneugden,BEL,1958
13,1958-07-08,230.0,Dax,Pau,Mountain stage,Louis Bergaud,FRA,1958
14,1958-07-09,129.0,Pau,Luchon,Mountain stage,Federico Bahamontes,ESP,1958
15,1958-07-10,176.0,Luchon,Toulouse,Mountain stage,André Darrigade,FRA,1958
16,1958-07-11,187.0,Toulouse,Béziers,Flat stage,Pierino Baffi,ITA,1958
17,1958-07-12,189.0,Béziers,Nîmes,Flat stage,André Darrigade,FRA,1958
18,1958-07-13,21.0,Bédoin,Mont-Ventoux,Individual time trial,Charly Gaul,LUX,1958
19,1958-07-14,178.0,Carpentras,Gap,Mountain stage,Gastone Nencini,ITA,1958
20,1958-07-15,165.0,Gap,Briançon,Mountain stage,Federico Bahamontes,ESP,1958
21,1958-07-16,219.0,Briançon,Aix-les-Bains,Mountain stage,Charly Gaul,LUX,1958
22,1958-07-17,237.0,Aix-les-Bains,Besançon,Mountain stage,André Darrigade,FRA,1958
23,1958-07-18,74.0,Besançon,Dijon,Individual time trial,Charly Gaul,LUX,1958
24,1958-07-19,320.0,Dijon,Paris,Flat stage,Pierino Baffi,ITA,1958
1,1957-06-27,204.0,Nantes,Granville,Flat stage,André Darrigade,FRA,1957
2,1957-06-28,226.0,Granville,Caen,Flat stage,René Privat,FRA,1957
3a,1957-06-29,15.0,Caen,Caen,Team time trial,France,,1957
3b,1957-06-29,134.0,Caen,Rouen,Flat stage,Jacques Anquetil,FRA,1957
4,1957-06-30,232.0,Rouen,Roubaix,Flat stage,Marcel Janssens,BEL,1957
5,1957-07-01,170.0,Roubaix,Charleroi,Flat stage,Gilbert Bauvin,FRA,1957
6,1957-07-02,248.0,Charleroi,Metz,Flat stage,André Trochut,FRA,1957
7,1957-07-03,223.0,Metz,Colmar,Mountain stage,Roger Hassenforder,FRA,1957
8,1957-07-04,192.0,Colmar,Besançon,Flat stage,Pierino Baffi,ITA,1957
9,1957-07-05,188.0,Besançon,Thonon-les-Bains,Flat stage,Jacques Anquetil,FRA,1957
10,1957-07-07,247.0,Thonon-les-Bains,Briançon,Mountain stage,Gastone Nencini,ITA,1957
11,1957-07-08,286.0,Briançon,Cannes,Mountain stage,René Privat,FRA,1957
12,1957-07-09,239.0,Cannes,Marseille,Mountain stage,Jean Stablinski,FRA,1957
13,1957-07-10,160.0,Marseille,Alès,Flat stage,Nino Defilippis,ITA,1957
14,1957-07-11,246.0,Alès,Perpignan,Flat stage,Roger Hassenforder,FRA,1957
15a,1957-07-12,197.0,Perpignan,Barcelona,Flat stage,René Privat,FRA,1957
15b,1957-07-12,9.8,Montjuïc circuit,Montjuïc circuit,Individual time trial,Jacques Anquetil,FRA,1957
16,1957-07-14,220.0,Barcelona ,Ax-les-Thermes,Mountain stage,Jean Bourlès,FRA,1957
17,1957-07-15,236.0,Ax-les-Thermes,Saint-Gaudens,Mountain stage,Nino Defilippis,ITA,1957
18,1957-07-16,207.0,Saint-Gaudens,Pau,Mountain stage,Gastone Nencini,ITA,1957
19,1957-07-17,194.0,Pau,Bordeaux,Flat stage,Pierino Baffi,ITA,1957
20,1957-07-18,66.0,Bordeaux,Libourne,Individual time trial,Jacques Anquetil,FRA,1957
21,1957-07-19,317.0,Libourne,Tours,Flat stage,André Darrigade,FRA,1957
22,1957-07-20,227.0,Tours,Paris,Flat stage,André Darrigade,FRA,1957
1,1956-07-05,223.0,Reims,Liège,Flat stage,André Darrigade,FRA,1956
2,1956-07-06,217.0,Liège,Lille,Flat stage,Fred De Bruyne,BEL,1956
3,1956-07-07,225.0,Lille,Rouen,Flat stage,Arigo Padovan,ITA,1956
4a,1956-07-08,15.1,Circuit de Rouen-Les-Essarts,Circuit de Rouen-Les-Essarts,Individual time trial,Charly Gaul,LUX,1956
4b,1956-07-08,125.0,Rouen,Caen,Flat stage,Roger Hassenforder,FRA,1956
5,1956-07-09,189.0,Caen,Saint-Malo,Flat stage,Joseph Morvan,FRA,1956
6,1956-07-10,192.0,Saint-Malo,Lorient,Flat stage,Fred De Bruyne,BEL,1956
7,1956-07-11,244.0,Lorient,Angers,Flat stage,Alessandro Fantini,ITA,1956
8,1956-07-12,180.0,Angers,La Rochelle,Flat stage,Miguel Poblet,ESP,1956
9,1956-07-13,219.0,La Rochelle,Bordeaux,Flat stage,Roger Hassenforder,FRA,1956
10,1956-07-15,201.0,Bordeaux,Bayonne,Flat stage,Fred De Bruyne,BEL,1956
11,1956-07-16,255.0,Bayonne,Pau,Mountain stage,Nino Defilippis,ITA,1956
12,1956-07-17,130.0,Pau,Luchon,Mountain stage,Jean-Pierre Schmitz,LUX,1956
13,1956-07-18,176.0,Luchon,Toulouse,Mountain stage,Nino Defilippis,ITA,1956
14,1956-07-19,231.0,Toulouse,Montpellier,Flat stage,Roger Hassenforder,FRA,1956
15,1956-07-20,204.0,Montpellier,Aix-en-Provence,Flat stage,Joseph Thomin,FRA,1956
16,1956-07-22,203.0,Aix-en-Provence,Gap,Mountain stage,Jean Forestier,FRA,1956
17,1956-07-23,234.0,Gap,Turin,Mountain stage,Nino Defilippis,ITA,1956
18,1956-07-24,250.0,Turin,Grenoble,Mountain stage,Charly Gaul,LUX,1956
19,1956-07-25,173.0,Grenoble,Saint-Étienne,Mountain stage,Stan Ockers,BEL,1956
20,1956-07-26,73.0,Saint-Étienne,Lyon,Individual time trial,Miguel Bover,ESP,1956
21,1956-07-27,237.0,Lyon,Montluçon,Mountain stage,Roger Hassenforder,FRA,1956
22,1956-07-28,331.0,Montluçon,Paris,Flat stage,Gastone Nencini,ITA,1956
1a,1955-07-07,102.0,Le Havre,Dieppe,Flat stage,Miguel Poblet,ESP,1955
1b,1955-07-07,12.5,Dieppe,Dieppe,Team time trial,Netherlands,,1955
2,1955-07-08,204.0,Dieppe,Roubaix,Flat stage,Antonin Rolland,FRA,1955
3,1955-07-09,210.0,Roubaix,Namur,Flat stage,Louison Bobet,FRA,1955
4,1955-07-10,225.0,Namur,Metz,Flat stage,Willy Kemp,LUX,1955
5,1955-07-11,229.0,Metz,Colmar,Flat stage,Roger Hassenforder,FRA,1955
6,1955-07-12,195.0,Colmar,Zürich,Flat stage,André Darrigade,FRA,1955
7,1955-07-13,267.0,Zürich,Thonon-les-Bains,Flat stage,Jos Hinsen,NED,1955
8,1955-07-14,253.0,Thonon-les-Bains,Briançon,Mountain stage,Charly Gaul,LUX,1955
9,1955-07-15,275.0,Briançon,Monaco,Mountain stage,Raphaël Géminiani,FRA,1955
10,1955-07-16,240.0,Monaco,Marseille,Flat stage,Lucien Lazaridès,FRA,1955
11,1955-07-18,198.0,Marseille,Avignon,Mountain stage,Louison Bobet,FRA,1955
12,1955-07-19,240.0,Avignon,Millau,Mountain stage,Alessandro Fantini,ITA,1955
13,1955-07-20,205.0,Millau,Albi,Flat stage,Daan de Groot,NED,1955
14,1955-07-21,156.0,Albi,Narbonne,Mountain stage,Louis Caput,FRA,1955
15,1955-07-22,151.0,Narbonne,Ax-les-Thermes,Flat stage,Luciano Pezzi,ITA,1955
16,1955-07-24,123.0,Ax-les-Thermes,Toulouse,Flat stage,Rik Van Steenbergen,BEL,1955
17,1955-07-25,250.0,Toulouse,Saint-Gaudens,Mountain stage,Charly Gaul,LUX,1955
18,1955-07-26,205.0,Saint-Gaudens,Pau,Mountain stage,Jean Brankart,BEL,1955
19,1955-07-27,195.0,Pau,Bordeaux,Flat stage,Wout Wagtmans,NED,1955
20,1955-07-28,243.0,Bordeaux,Poitiers,Flat stage,Jean Forestier,FRA,1955
21,1955-07-29,68.6,Châtellerault,Tours,Individual time trial,Jean Brankart,BEL,1955
22,1955-07-30,229.0,Tours,Paris,Flat stage,Miguel Poblet,ESP,1955
1,1954-07-08,216.0,Amsterdam,Brasschaat,Flat stage,Wout Wagtmans,NED,1954
2,1954-07-09,255.0,Beveren,Lille,Flat stage,Louison Bobet,FRA,1954
3,1954-07-10,219.0,Lille,Rouen,Flat stage,Marcel Dussault,FRA,1954
4a,1954-07-11,10.4,Rouen,Circuit des Essarts,Team time trial,Switzerland,,1954
4b,1954-07-11,131.0,Rouen,Caen,Flat stage,Wim van Est,NED,1954
5,1954-07-12,224.0,Caen,Saint-Brieuc,Flat stage,Ferdinand Kübler,SUI,1954
6,1954-07-13,179.0,Saint-Brieuc,Brest,Flat stage,Dominique Forlini,FRA,1954
7,1954-07-14,211.0,Brest,Vannes,Flat stage,Jacques Vivier,FRA,1954
8,1954-07-15,190.0,Vannes,Angers,Flat stage,Fred De Bruyne,BEL,1954
9,1954-07-16,343.0,Angers,Bordeaux,Flat stage,Henk Faanhof,NED,1954
10,1954-07-18,202.0,Bordeaux,Bayonne,Flat stage,Gilbert Bauvin,FRA,1954
11,1954-07-19,241.0,Bayonne,Pau,Mountain stage,Stan Ockers,BEL,1954
12,1954-07-20,161.0,Pau,Luchon,Mountain stage,Gilbert Bauvin,FRA,1954
13,1954-07-21,203.0,Luchon,Toulouse,Flat stage,Fred De Bruyne,BEL,1954
14,1954-07-22,225.0,Toulouse,Millau,Mountain stage,Ferdinand Kübler,SUI,1954
15,1954-07-23,197.0,Millau,Le Puy,Mountain stage,Dominique Forlini,FRA,1954
16,1954-07-24,194.0,Le Puy,Lyon,Mountain stage,Jean Forestier,FRA,1954
17,1954-07-26,182.0,Lyon,Grenoble,Mountain stage,Lucien Lazaridès,FRA,1954
18,1954-07-27,216.0,Grenoble,Briançon,Mountain stage,Louison Bobet,FRA,1954
19,1954-07-28,221.0,Briançon,Aix-les-Bains,Mountain stage,Jean Dotto,FRA,1954
20,1954-07-29,243.0,Aix les Bains,Besançon,Mountain stage,Lucien Teisseire,FRA,1954
21a,1954-07-30,134.0,Besançon,Épinal,Flat stage,François Mahé,FRA,1954
21b,1954-07-30,72.0,Epinal,Nancy,Individual time trial,Louison Bobet,FRA,1954
22,1954-07-31,216.0,Nancy,Troyes,Flat stage,Fred De Bruyne,BEL,1954
23,1954-08-01,180.0,Troyes,Paris,Flat stage,Robert Varnajo,FRA,1954
1,1953-07-03,195.0,Strasbourg,Metz,Flat stage,Fritz Schär,SUI,1953
2,1953-07-04,227.0,Metz,Liège,Flat stage,Fritz Schär,SUI,1953
3,1953-07-05,221.0,Liège,Lille,Flat stage,Stanislas Bober,FRA,1953
4,1953-07-06,188.0,Lille,Dieppe,Flat stage,Gerrit Voorting,NED,1953
5,1953-07-07,200.0,Dieppe,Caen,Flat stage,Jean Malléjac,FRA,1953
6,1953-07-08,206.0,Caen,Le Mans,Flat stage,Martin Van Geneugden,BEL,1953
7,1953-07-09,181.0,Le Mans,Nantes,Flat stage,Livio Isotti,ITA,1953
8,1953-07-10,345.0,Nantes,Bordeaux,Flat stage,Jan Nolten,NED,1953
9,1953-07-12,197.0,Bordeaux,Pau,Flat stage,Fiorenzo Magni,ITA,1953
10,1953-07-13,103.0,Pau,Cauterets,Mountain stage,Jesús Loroño,ESP,1953
11,1953-07-14,115.0,Cauterets,Luchon,Mountain stage,Jean Robic,FRA,1953
12,1953-07-15,228.0,Luchon,Albi,Flat stage,André Darrigade,FRA,1953
13,1953-07-16,189.0,Albi,Béziers,Mountain stage,Nello Lauredi,FRA,1953
14,1953-07-17,214.0,Béziers,Nîmes,Mountain stage,Bernard Quennehen,FRA,1953
15,1953-07-18,173.0,Nîmes,Marseille,Flat stage,Maurice Quentin,FRA,1953
16,1953-07-19,236.0,Marseille,Monaco,Mountain stage,Wim van Est,NED,1953
17,1953-07-21,261.0,Monaco,Gap,Mountain stage,Wout Wagtmans,NED,1953
18,1953-07-22,165.0,Gap,Briançon,Mountain stage,Louison Bobet,FRA,1953
19,1953-07-23,227.0,Briançon,Lyon,Mountain stage,Georges Meunier,FRA,1953
20,1953-07-24,70.0,Lyon,St. Etienne,Individual time trial,Louison Bobet,FRA,1953
21,1953-07-25,210.0,St. Etienne,Montluçon,Flat stage,Wout Wagtmans,NED,1953
22,1953-07-26,328.0,Montluçon,Paris,Flat stage,Fiorenzo Magni,ITA,1953
1,1952-06-25,246.0,Brest,Rennes,Flat stage,Rik Van Steenbergen,BEL,1952
2,1952-06-26,181.0,Rennes,Le Mans,Flat stage,André Rosseel,BEL,1952
3,1952-06-27,189.0,Le Mans,Rouen,Flat stage,Nello Lauredi,FRA,1952
4,1952-06-28,232.0,Rouen,Roubaix,Flat stage,Pierre Molinéris,FRA,1952
5,1952-06-29,197.0,Roubaix,Namur,Flat stage,Jean Diederich,LUX,1952
6,1952-06-30,228.0,Namur,Metz,Flat stage,Fiorenzo Magni,ITA,1952
7,1952-07-01,60.0,Metz,Nancy,Individual time trial,Fausto Coppi,ITA,1952
8,1952-07-02,252.0,Nancy,Mulhouse,Mountain stage,Raphaël Géminiani,FRA,1952
9,1952-07-03,238.0,Mulhouse,Lausanne,Mountain stage,Walter Diggelmann,SUI,1952
10,1952-07-04,266.0,Lausanne,Alpe d'Huez,Mountain stage,Fausto Coppi,ITA,1952
11,1952-07-06,182.0,Le Bourg-d'Oisans,Sestriere,Mountain stage,Fausto Coppi,ITA,1952
12,1952-07-07,251.0,Sestriere,Monaco,Mountain stage,Jan Nolten,NED,1952
13,1952-07-08,214.0,Monaco,Aix-en-Provence,Flat stage,Raoul Rémy,FRA,1952
14,1952-07-09,178.0,Aix-en-Provence,Avignon,Mountain stage,Jean Robic,FRA,1952
15,1952-07-10,275.0,Avignon,Perpignan,Flat stage,Georges Decaux,FRA,1952
16,1952-07-11,200.0,Perpignan,Toulouse,Flat stage,André Rosseel,BEL,1952
17,1952-07-13,204.0,Toulouse,Bagnères-de-Bigorre,Mountain stage,Raphaël Géminiani,FRA,1952
18,1952-07-14,149.0,Bagnères-de-Bigorre,Pau,Mountain stage,Fausto Coppi,ITA,1952
19,1952-07-15,195.0,Pau,Bordeaux,Flat stage,Hans Dekkers,NED,1952
20,1952-07-16,228.0,Bordeaux,Limoges,Flat stage,Jacques Vivier,FRA,1952
21,1952-07-17,245.0,Limoges,Puy de Dôme,Mountain stage,Fausto Coppi,ITA,1952
22,1952-07-18,63.0,Clermont-Ferrand,Vichy,Individual time trial,Fiorenzo Magni,ITA,1952
23,1952-07-19,354.0,Vichy,Paris,Flat stage,Antonin Rolland,FRA,1952
1,1951-07-04,185.0,Metz,Reims,Flat stage,Giovanni Rossi,SUI,1951
2,1951-07-05,228.0,Reims,Ghent,Flat stage,Jean Diederich,LUX,1951
3,1951-07-06,219.0,Ghent,Le Tréport,Flat stage,Georges Meunier,FRA,1951
4,1951-07-07,188.0,Le Tréport,Paris,Flat stage,Roger Lévêque,FRA,1951
5,1951-07-08,215.0,Paris,Caen,Flat stage,Serafino Biagioni,ITA,1951
6,1951-07-09,182.0,Caen,Rennes,Flat stage,Édouard Muller,FRA,1951
7,1951-07-10,85.0,La Guerche-de-Bretagne,Angers,Individual time trial,Hugo Koblet,SUI,1951
8,1951-07-11,241.0,Angers,Limoges,Flat stage,André Rosseel,BEL,1951
9,1951-07-13,236.0,Limoges,Clermont-Ferrand,Mountain stage,Raphaël Géminiani,FRA,1951
10,1951-07-14,216.0,Clermont-Ferrand,Brive,Mountain stage,Bernardo Ruiz,ESP,1951
11,1951-07-15,177.0,Brive,Agen,Flat stage,Hugo Koblet,SUI,1951
12,1951-07-16,185.0,Agen,Dax,Flat stage,Wim van Est,NED,1951
13,1951-07-17,201.0,Dax,Tarbes,Mountain stage,Serafino Biagioni,ITA,1951
14,1951-07-18,142.0,Tarbes,Luchon,Mountain stage,Hugo Koblet,SUI,1951
15,1951-07-19,213.0,Luchon,Carcassonne,Mountain stage,André Rosseel,BEL,1951
16,1951-07-20,192.0,Carcassonne,Montpellier,Flat stage,Hugo Koblet,SUI,1951
17,1951-07-22,224.0,Montpellier,Avignon,Mountain stage,Louison Bobet,FRA,1951
18,1951-07-23,173.0,Avignon,Marseille,Flat stage,Fiorenzo Magni,ITA,1951
19,1951-07-24,208.0,Marseille,Gap,Mountain stage,Armand Baeyens,BEL,1951
20,1951-07-25,165.0,Gap,Briançon,Mountain stage,Fausto Coppi,ITA,1951
21,1951-07-26,201.0,Briançon,Aix-les-Bains,Mountain stage,Bernardo Ruiz,ESP,1951
22,1951-07-27,97.0,Aix-les-Bains,Geneva,Individual time trial,Hugo Koblet,SUI,1951
23,1951-07-28,197.0,Geneva,Dijon,Mountain stage,Germain Derijcke,BEL,1951
24,1951-07-29,322.0,Dijon,Paris,Flat stage,Adolphe Deledda,FRA,1951
1,1950-07-13,307.0,Paris,Metz,Flat stage,Jean Goldschmit,LUX,1950
2,1950-07-14,241.0,Metz,Liège,Flat stage,Adolfo Leoni,ITA,1950
3,1950-07-15,232.5,Liège,Lille,Flat stage,Alfredo Pasotti,ITA,1950
4,1950-07-16,231.0,Lille,Rouen,Flat stage,Stan Ockers,BEL,1950
5,1950-07-17,316.0,Rouen,Dinard,Flat stage,Giovanni Corrieri,ITA,1950
6,1950-07-19,78.0,Dinard,St. Brieuc,Individual time trial,Ferdinand Kübler,SUI,1950
7,1950-07-20,248.0,St. Brieuc,Angers,Flat stage,Nello Lauredi,FRA,1950
8,1950-07-21,181.0,Angers,Niort,Flat stage,Fiorenzo Magni,ITA,1950
9,1950-07-22,206.0,Niort,Bordeaux,Flat stage,Alfredo Pasotti,ITA,1950
10,1950-07-23,202.0,Bordeaux,Pau,Flat stage,Marcel Dussault,FRA,1950
11,1950-07-25,230.0,Pau,St. Gaudens,Mountain stage,Gino Bartali,ITA,1950
12,1950-07-26,233.0,Saint-Gaudens,Perpignan,Flat stage,Maurice Blomme,BEL,1950
13,1950-07-27,215.0,Perpignan,Nîmes,Flat stage,Marcel Molinès,FRA,1950
14,1950-07-28,222.0,Nîmes,Toulon,Flat stage,Custodio Dos Reis,FRA,1950
15,1950-07-29,205.5,Toulon,Menton,Mountain stage,Jean Diederich,LUX,1950
16,1950-07-30,96.0,Menton,Nice,Mountain stage,Ferdinand Kübler,SUI,1950
17,1950-08-01,229.0,Nice,Gap,Mountain stage,Raphaël Géminiani,FRA,1950
18,1950-08-02,165.0,Gap,Briançon,Mountain stage,Louison Bobet,FRA,1950
19,1950-08-03,291.0,Briançon,Saint-Étienne,Mountain stage,Raphaël Géminiani,FRA,1950
20,1950-08-05,98.0,Saint-Étienne,Lyon,Individual time trial,Ferdinand Kübler,SUI,1950
21,1950-08-06,233.0,Lyon,Dijon,Flat stage,Gino Sciardis,FRA,1950
22,1950-08-07,314.0,Dijon,Paris,Flat stage,Émile Baffert,FRA,1950
